id,code,name
hr_habilitation_814,814,DOUTOURAMENTO FORMACAO DE PROFESSORES E CIENCIAS DA EDUCACAO
hr_habilitation_821,821,DOUTOURAMENTO ARTES
hr_habilitation_822,822,DOUTOURAMENTO HUMANIDADES
hr_habilitation_831,831,DOUTOURAMENTO CIENCIAS SOCIAIS E DO COMPORTAMENTO
hr_habilitation_832,832,DOUTOURAMENTO INFORMACAO E JORNALISMO
hr_habilitation_834,834,DOUTOURAMENTO CIENCIAS EMPRESARIAIS
hr_habilitation_838,838,DOUTOURAMENTO DIREITO
hr_habilitation_842,842,DOUTOURAMENTO CIENCIAS DA VIDA
hr_habilitation_844,844,DOUTOURAMENTO CIENCIAS FISICAS
hr_habilitation_846,846,DOUTOURAMENTO MATEMATICA E ESTATISTICA
hr_habilitation_848,848,DOUTOURAMENTO INFORMATICA
hr_habilitation_852,852,DOUTOURAMENTO ENGENHARIA E TECNICAS AFINS
hr_habilitation_854,854,DOUTOURAMENTO INDUSTRIAS TRANSFORMADORAS
hr_habilitation_858,858,DOUTOURAMENTO ARQUITECTURA E CONSTRUCAO
hr_habilitation_862,862,"DOUTOURAMENTO AGRICULTURA, SILVICULTURA E PESCA"
hr_habilitation_864,864,DOUTOURAMENTO CIENCIAS VETERINARIAS
hr_habilitation_872,872,DOUTOURAMENTO SAUDE
hr_habilitation_876,876,DOUTOURAMENTO SERVICOS SOCIAIS
hr_habilitation_881,881,DOUTOURAMENTO SERVICOS PESSOAIS
hr_habilitation_884,884,DOUTOURAMENTO SERVICOS DE TRANSPORTE
hr_habilitation_885,885,DOUTOURAMENTO PROTECCAO DO AMBIENTE
hr_habilitation_886,886,DOUTOURAMENTO SERVICOS DE SEGURANCA
hr_habilitation_899,899,DOUTOURAMENTO DESCONHECIDO OU NAO ESPECIFICADO
